City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Clarksburg,US,39.2807,-80.3445,43.0,35,1,2.57,clear sky
79,Mahebourg,MU,-20.4081,57.7,80.6,74,40,8.05,scattered clouds
80,Chipinge,ZW,-20.1883,32.6236,63.97,91,3,4.23,clear sky
81,Kirksville,US,40.1948,-92.5833,6.8,78,90,11.5,light snow
82,Pevek,RU,69.7008,170.3133,-12.46,82,100,1.86,overcast clouds
83,Carauari,BR,-4.8828,-66.8958,90.18,56,47,3.78,scattered clouds
84,Hilo,US,19.7297,-155.09,75.99,50,1,3.44,clear sky
85,Torbay,CA,47.6666,-52.7314,33.01,93,90,20.71,light rain
86,Half Moon Bay,US,37.4636,-122.4286,55.99,82,20,8.05,haze
87,Mahmudia,RO,45.0833,29.0833,54.0,87,75,17.27,broken clouds
88,Granville,AU,-33.8333,151.0167,68.0,64,75,12.66,broken clouds
89,Provideniya,RU,64.3833,-173.3,-1.21,87,100,18.16,light snow
90,Kununurra,AU,-15.7667,128.7333,77.0,100,90,5.75,overcast clouds
91,Thompson,CA,55.7435,-97.8558,-20.2,69,90,14.97,snow
92,Vysokogornyy,RU,50.1167,139.15,-11.45,87,100,5.35,overcast clouds
93,Kodiak,US,57.79,-152.4072,30.2,74,20,11.5,few clouds
94,Talnakh,RU,69.4865,88.3972,5.31,93,100,11.32,overcast clouds
95,Semnan,IR,35.5729,53.3971,48.69,67,0,1.81,clear sky
96,Newport,GB,51.5877,-2.9984,34.0,81,16,18.99,few clouds
97,Constitucion,CL,-35.3333,-72.4167,66.16,71,13,10.92,few clouds
98,Chuy,UY,-33.6971,-53.4616,68.04,87,82,13.11,broken clouds
99,Hamilton,US,39.1834,-84.5333,37.4,35,40,4.61,scattered clouds
100,Cherskiy,RU,68.75,161.3,3.49,72,100,4.52,overcast clouds
101,Bardiyah,LY,31.7561,25.0865,62.35,72,0,12.06,clear sky
102,Springbok,ZA,-29.6643,17.8865,72.0,41,0,6.44,clear sky
103,Kruisfontein,ZA,-34.0033,24.7314,68.0,77,21,5.01,few clouds
104,Vila Velha,BR,-20.3297,-40.2925,79.0,94,90,1.99,mist
105,Tura,IN,25.5198,90.2201,57.94,46,0,2.3,clear sky
106,Santa Rosa,PH,14.3122,121.1114,78.8,73,40,4.61,scattered clouds
107,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,60,5.01,broken clouds
108,Tongzi,CN,28.7829,105.0877,53.91,67,100,2.64,overcast clouds
109,Hasaki,JP,35.7333,140.8333,32.0,43,20,17.27,few clouds
