City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Coihaique,CL,86.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
237,Tautira,PF,84.2,few clouds,-17.7333,-149.15,Pension Oaoa
239,Male,MV,82.4,few clouds,4.1748,73.5089,Hotel Octave Maldives
251,Ciudad Bolivar,VE,89.35,overcast clouds,8.1222,-63.5497,Hotel Edi
252,Bairiki,KI,78.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
253,Kupang,ID,79.09,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
255,Chake Chake,TZ,77.61,overcast clouds,-5.2459,39.7666,Hotel Archipelago
256,Wajir,KE,89.85,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
260,Quatre Cocos,MU,80.6,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
261,Tampa,US,78.8,overcast clouds,27.9475,-82.4584,Hilton Tampa Downtown
264,Vaitape,PF,81.23,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
266,Srandakan,ID,76.12,overcast clouds,-7.9386,110.2506,Puri Brata
268,Butaritari,KI,81.68,light rain,3.0707,172.7902,Isles Sunset Lodge
272,Santa Luzia,BR,77.0,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
280,Tomatlan,MX,86.23,clear sky,19.9333,-105.25,Norma franco
285,Neuquen,AR,75.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
286,Ternate,ID,80.8,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
292,Xuddur,SO,75.81,scattered clouds,4.1213,43.8894,Banjanay Hotel
293,Marsh Harbour,BS,76.82,few clouds,26.5412,-77.0636,Abaco Beach Resort
296,Itarema,BR,82.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
297,Kayes,ML,83.21,clear sky,14.0,-11.0,
300,Santo Angelo,BR,83.05,clear sky,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
304,Richards Bay,ZA,75.83,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
305,Thinadhoo,MV,82.78,overcast clouds,0.5333,72.9333,
306,Axim,GH,80.37,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
314,Hambantota,LK,77.49,overcast clouds,6.1241,81.1185,Bungalow 63
316,Florianopolis,BR,78.8,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
317,Bontang,ID,79.41,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
321,Fenoarivo Atsinanana,MG,79.18,overcast clouds,-17.3667,49.4167,L'Oasis Lodge
324,Tual,ID,83.01,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
326,Salinopolis,BR,82.6,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
329,Lucea,JM,84.2,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
333,Palmeiras De Goias,BR,76.64,few clouds,-16.805,-49.9258,Hotel Água Virada
336,Boa Vista,BR,89.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
341,Rio Verde De Mato Grosso,BR,86.49,clear sky,-18.9181,-54.8442,Hotel Valência
344,Maxixe,MZ,75.2,broken clouds,-23.8597,35.3472,Oceano
